ID,amount,tx_name
1,1000,sample
2,2000,sample
3,3000,sample
4,4000,sample
5,5000,sample
6,6000,sample
7,7000,sample
8,8000,sample
9,9000,sample
10,10000,sample
11,11000,sample
12,12000,sample
13,13000,sample
14,14000,sample
15,15000,sample
16,16000,sample
17,17000,sample
18,18000,sample
19,19000,sample
20,20000,sample
21,21000,sample
22,22000,sample
23,23000,sample
24,24000,sample
25,25000,sample
26,26000,sample
27,27000,sample
28,28000,sample
29,29000,sample
30,30000,sample
31,31000,sample
32,32000,sample
33,33000,sample
34,34000,sample
35,35000,sample
36,36000,sample
37,37000,sample
38,38000,sample
39,39000,sample
40,40000,sample
41,41000,sample
42,42000,sample
43,43000,sample
44,44000,sample
45,45000,sample
46,46000,sample
47,47000,sample
48,48000,sample
49,49000,sample
50,50000,sample
51,51000,sample
52,52000,sample
53,53000,sample
54,54000,sample
55,55000,sample
56,56000,sample
57,57000,sample
58,58000,sample
59,59000,sample
60,60000,sample
61,61000,sample
62,62000,sample
63,63000,sample
64,64000,sample
65,65000,sample
66,66000,sample
67,67000,sample
68,68000,sample
69,69000,sample
70,70000,sample
71,71000,sample
72,72000,sample
73,73000,sample
74,74000,sample
75,75000,sample
76,76000,sample
77,77000,sample
78,78000,sample
79,79000,sample
80,80000,sample
81,81000,sample
82,82000,sample
83,83000,sample
84,84000,sample
85,85000,sample
86,86000,sample
87,87000,sample
88,88000,sample
89,89000,sample
90,90000,sample
91,91000,sample
92,92000,sample
93,93000,sample
94,94000,sample
95,95000,sample
96,96000,sample
97,97000,sample
98,98000,sample
99,99000,sample
100,100000,sample
